Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2007-05-01,99.1933,99.3281,100.146423502627,2.6906593078063574,82.07443,147510.156932836,2802582.7,0.773684210526316,1.09444444444444,2.165807,2.634434782608696,0.741758217391304,0.3016959565217405,1.5,113.3021,77.9332421905684,79.0,93.582,3.07,783032.0,-4.04346467,-5.50916945,2.79447189,119.0,6.6
2007-06-01,99.172,99.4418,102.94561037001,2.5280289679117343,87.59903,147510.156932836,2802582.7,0.733333333333333,1.17647058823529,2.418879,2.823238095238095,0.7183114761904763,0.5129553333333297,1.5,113.3089,77.92856518773019,79.7,93.0451,3.14,790127.0,-4.44532709,-6.06845328,2.98634897,119.2,6.4
2007-07-01,98.5044,98.8518,100.409660400584,2.527978296361681,92.84718,148785.457212249,2815971.5,0.733333333333333,1.17647058823529,2.490651,2.955090909090909,0.7657126363636362,0.4122248636363608,1.4,113.4781,79.83919364176876,80.1,93.194,3.22,792913.0,-6.18035788,-7.17352939,1.54604829,119.5,5.6
2007-08-01,98.5022,98.7413,100.990925899685,2.5527566843375253,85.10687,148785.457212249,2815971.5,0.733333333333333,1.17647058823529,2.3134,2.610478260869565,0.7195130434782611,-0.11728721739129888,1.4,113.8248,79.59601071119826,81.4,93.9842,3.23,797479.0,-7.5936845,-8.14246499,1.11457717,119.6,5.2
2007-09-01,98.4884,98.8353,103.774842037637,2.5254953904090915,91.46447,148785.457212249,2815971.5,0.742105263157895,1.23157894736842,2.209981,2.49695,0.7695190000000003,-0.3722953000000002,1.4,113.5329,79.80065690209621,80.8,93.6014,3.23,798804.0,-6.71537839,-7.52599232,1.91623408,119.7,4.6
2007-10-01,99.366,99.6792,99.4916417945404,2.5852371479214025,96.67504,150005.504621459,2833143.6,0.742105263157895,1.23157894736842,2.118889,2.548304347826087,0.9345023043478262,-0.28718508695651934,1.6,113.8065,79.52094124676535,80.6,92.625,3.23,804576.0,-6.55597659,-7.43424336,1.38790001,120.1,4.2
2007-11-01,99.5193,100.1336,102.341397839735,2.655695938269891,103.81117,150005.504621459,2833143.6,0.742105263157895,1.23157894736842,2.115592,2.413863636363636,0.8429080000000004,-0.38695963636364006,1.6,114.1509,79.28102187542981,81.2,94.4729,3.24,817428.0,-4.04711194,-5.91005958,2.38174931,120.4,5.5
2007-12-01,99.6648,100.3771,101.331504322136,2.7619035071806652,103.67479,150005.504621459,2833143.6,0.715789473684211,1.34736842105263,1.873853,2.4036190476190478,1.1732898571428572,-0.46663814285714,1.6,114.0391,79.35874625457409,80.8,93.8217,3.29,818707.0,-2.58542649,-4.91799192,2.45554628,121.1,4.7
2008-01-01,99.0596,100.0885,100.833207006343,2.8344905026313736,101.44726,151177.513589331,2850873.8,0.715789473684211,1.34736842105263,2.241335,2.185521739130435,0.7132302173913043,-0.24975469565216812,2.4,114.6466,80.68272412788517,81.6,96.2773,3.3,818992.0,-4.31330111,-6.12433643,1.68967136,123.6,3.5
2008-02-01,99.4054,100.2261,99.704597021053,2.7478421520409992,103.43887,151177.513589331,2850873.8,0.715789473684211,1.34736842105263,2.240998,2.1233809523809524,0.7150020000000001,-0.22272904761904844,2.4,114.8872,80.51375610163709,82.3,96.6919,3.32,820377.0,-4.91248065,-6.35966966,1.74258336,124.6,2.1
